win,firstBlood,firstTower,KillDiff,AssistDiff,DamageDiff,TrueDamageDiff,HealDiff,CCTimeDiff,MinionDiff,CounterJungleDiff,DragonDiff,BaronDiff
0,1,0,-12,-17,-18044,-387,-6425,-23,-37,-15,-1,0
1,0,0,8,25,9577,6107,16843,-9,-70,12,0,1
0,1,0,-6,-13,-6048,876,66,-14,-73,-13,-2,0
0,1,1,3,-10,-36263,-2903,9418,95,-5,-32,-1,0
0,0,0,-11,-14,-9469,7563,-14134,-41,-115,-21,-3,-1
0,1,1,-8,-40,-42457,4156,-8403,38,-102,48,1,-1
0,0,0,-10,-12,-11285,1113,-8569,-27,-114,-8,-1,0
0,0,0,4,23,-604,-1350,17905,-21,0,-8,-1,1
0,0,0,-12,-31,-2133,1084,-41450,55,-71,27,0,0
1,0,1,14,40,7350,3827,-4138,27,-32,4,1,1
0,0,0,-16,-22,-13508,-2296,-9369,-1,-98,2,-2,-1
0,1,0,-18,-9,-32971,1091,5074,-27,-90,4,-3,-1
1,1,1,20,19,16804,-1719,2662,20,55,20,4,1
0,0,0,-18,-24,6307,-2223,-431,25,18,-11,0,0
0,1,1,5,11,7675,-7490,6830,211,106,-31,-1,0
1,1,1,19,19,19384,-1162,13317,-6,144,26,2,0
1,1,1,15,15,20757,-1084,10152,28,-10,19,-3,1
0,0,0,-1,7,16510,-1129,-31520,-3,-29,-25,0,-2
0,1,0,-15,-28,-27865,-42,13386,-36,86,-8,-3,-1
0,1,0,-18,-27,-35212,1725,-17286,52,-10,-41,-1,-1
0,0,0,-17,-20,-14770,-269,-142,-91,-58,-25,-3,0
0,0,0,-12,-29,-1582,-1827,-4840,-35,-37,2,-4,-1
1,0,0,14,18,-21954,-1568,5608,-3,-19,-6,-2,1
0,0,0,-20,-27,-20132,-1565,-4037,-16,-58,-33,0,0
1,0,1,19,7,3374,5880,12643,-9,-173,41,2,-2
0,1,0,-9,-28,4236,-5745,10792,-18,76,3,2,-1
0,0,0,-17,-17,-7846,-2041,-8247,-20,-44,-13,-1,0
0,0,0,-9,-4,-8046,-1909,-13436,27,-73,-14,-3,-1
1,1,1,11,14,7890,-2978,-1,24,-20,20,2,1
0,0,0,-7,-15,-23793,-9511,38,114,31,-16,1,-2
0,0,1,-13,-37,-11742,179,-3167,-27,42,7,0,-1
0,1,0,-2,-16,-12980,662,9593,-2,-83,-8,0,-1
0,1,1,-12,-8,-26780,-3700,3350,-33,-4,-4,-1,0
0,1,0,-8,-11,-15584,1317,-2814,16,-3,-14,-3,-1
0,1,0,3,-8,-3993,-1073,-9217,-7,-58,-2,-2,-1
0,0,1,-8,-8,-3042,1695,-19719,33,-17,0,-2,0
0,1,0,-11,-21,-17828,-1690,3416,8,-49,-26,-2,-1
0,0,1,-12,-2,-34852,-2757,-5047,-49,-65,-33,-2,-1
1,1,0,25,44,8347,3432,18520,-39,-144,32,2,0
1,1,1,16,35,41718,11436,6009,-46,-11,-9,-2,-1
